,HOME_TEAM_NAME,Year,Attendance
462,Jazz,2019,750546
463,Thunder,2019,746323
464,Rockets,2019,740392
465,Bucks,2019,721692
466,Magic,2019,720024
467,Wizards,2019,716996
468,Clippers,2019,710327
469,Kings,2019,700975
470,Pacers,2019,689310
471,Hornets,2019,676570
472,Pistons,2019,675963
473,Pelicans,2019,656183
474,Grizzlies,2019,607564
475,Hawks,2019,628440
476,Timberwolves,2019,627543
477,Suns,2019,627023
478,Nets,2019,612597
479,76ers,2020,639491
480,Mavericks,2020,682096
481,Raptors,2020,633456
482,Heat,2020,629771
483,Trail Blazers,2020,608634
484,Nuggets,2020,633153
485,Celtics,2020,610864
486,Clippers,2020,610176
487,Lakers,2020,588907
488,NY Knicks,2020,620789
489,Bulls,2020,639352
490,Spurs,2020,550515
491,Jazz,2020,567486
492,Thunder,2020,600699
493,Rockets,2020,578458
494,Warriors,2020,614176
495,Cavaliers,2020,623576
496,Bucks,2020,549036
497,Magic,2020,529870
498,Kings,2020,520663
499,Wizards,2020,532702
500,Pacers,2020,529002
501,Pelicans,2020,528172
502,Nets,2020,524907
503,Hawks,2020,545453
504,Grizzlies,2020,523297
505,Suns,2020,550633
506,Pistons,2020,509463
507,Hornets,2020,478591
508,Timberwolves,2020,482112
509,Bulls,2022,856148
510,76ers,2022,846867
511,Mavericks,2022,809315
512,Heat,2022,804761
513,Celtics,2022,766240
514,Raptors,2022,547343
515,Lakers,2022,764631
516,NY Knicks,2022,763484
517,Cavaliers,2022,758228
518,Jazz,2022,750546
519,Warriors,2022,740624
520,Bucks,2022,715581
521,Nets,2022,711539
522,Trail Blazers,2022,705608
523,Hornets,2022,700755
524,Nuggets,2022,695262
525,Clippers,2022,694005
526,Suns,2022,679252
527,Hawks,2022,672742
528,Pistons,2022,663556
529,Timberwolves,2022,657148
530,Grizzlies,2022,646785
531,Rockets,2022,638977
532,Wizards,2022,637215
533,Pelicans,2022,635941
534,Magic,2022,622881
535,Spurs,2022,615588
536,Thunder,2022,595112
537,Kings,2022,577583
538,Pacers,2022,588743
