,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,2pointer_PCT_HOME,3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,2pointer_PCT_AWAY,3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
17101,2004-04-26,1610612749,Bucks,0.451,0.3,0.667,23.0,38.0,1610612765,Pistons,0.569,0.318,0.952,31.0,33.0,0
17102,2004-04-26,1610612742,Mavericks,0.347,0.16,0.606,19.0,55.0,1610612758,Kings,0.396,0.176,0.7040000000000001,20.0,68.0,0
17103,2004-04-25,1610612738,Celtics,0.4029999999999999,0.2269999999999999,0.889,18.0,46.0,1610612754,Pacers,0.452,0.291,0.773,19.0,31.0,0
17104,2004-04-25,1610612745,Rockets,0.425,0.153,0.8420000000000001,19.0,48.0,1610612747,Lakers,0.4270000000000001,0.25,0.5589999999999999,20.0,43.0,0
17105,2004-04-25,1610612752,Knicks,0.418,0.222,0.733,22.0,37.0,1610612751,Nets,0.466,0.1,0.7559999999999999,16.0,43.0,0
17106,2004-04-25,1610612763,Grizzlies,0.48,0.238,0.87,19.0,34.0,1610612759,Spurs,0.5870000000000001,0.392,0.735,25.0,31.0,0
17107,2004-04-24,1610612740,Pelicans,0.355,0.2269999999999999,0.818,19.0,42.0,1610612748,Heat,0.3289999999999999,0.166,0.7829999999999999,12.0,48.0,1
17108,2004-04-24,1610612749,Bucks,0.37,0.222,0.731,22.0,36.0,1610612765,Pistons,0.4579999999999999,0.294,0.727,14.0,52.0,0
17109,2004-04-24,1610612742,Mavericks,0.4,0.23,0.75,20.0,56.0,1610612758,Kings,0.373,0.142,0.677,11.0,46.0,1
17110,2004-04-24,1610612743,Nuggets,0.474,0.312,0.75,29.0,53.0,1610612750,Timberwolves,0.416,0.285,0.667,21.0,36.0,1
17111,2004-04-23,1610612738,Celtics,0.421,0.176,0.7829999999999999,20.0,42.0,1610612754,Pacers,0.472,0.266,0.696,27.0,46.0,0
17112,2004-04-23,1610612745,Rockets,0.481,0.36,0.7040000000000001,21.0,49.0,1610612747,Lakers,0.434,0.263,0.583,23.0,42.0,1
17113,2004-04-22,1610612752,Knicks,0.408,0.294,0.5,18.0,39.0,1610612751,Nets,0.4029999999999999,0.173,0.731,20.0,49.0,0
17114,2004-04-22,1610612763,Grizzlies,0.487,0.263,0.632,16.0,31.0,1610612759,Spurs,0.472,0.307,0.633,19.0,48.0,0
17115,2004-04-21,1610612765,Pistons,0.402,0.193,0.762,25.0,37.0,1610612749,Bucks,0.4379999999999999,0.3329999999999999,0.71,19.0,48.0,0
17116,2004-04-21,1610612748,Heat,0.451,0.1169999999999999,0.9,19.0,51.0,1610612740,Pelicans,0.244,0.142,0.8,12.0,46.0,1
17117,2004-04-21,1610612750,Timberwolves,0.4679999999999999,0.347,0.813,25.0,38.0,1610612743,Nuggets,0.408,0.2,0.7390000000000001,14.0,38.0,1
17118,2004-04-20,1610612754,Pacers,0.446,0.281,0.632,23.0,49.0,1610612738,Celtics,0.4029999999999999,0.217,0.816,17.0,38.0,1
17119,2004-04-20,1610612758,Kings,0.37,0.206,0.708,23.0,48.0,1610612742,Mavericks,0.3229999999999999,0.095,0.85,16.0,57.0,1
17120,2004-04-20,1610612751,Nets,0.535,0.28,0.667,28.0,44.0,1610612752,Knicks,0.341,0.2,0.81,20.0,42.0,1
17121,2004-04-19,1610612747,Lakers,0.4529999999999999,0.318,0.852,27.0,38.0,1610612745,Rockets,0.4370000000000001,0.23,0.633,20.0,36.0,1
17122,2004-04-19,1610612759,Spurs,0.442,0.26,0.542,17.0,53.0,1610612763,Grizzlies,0.366,0.111,0.708,13.0,35.0,1
17123,2004-04-18,1610612750,Timberwolves,0.46,0.5,0.7140000000000001,18.0,48.0,1610612743,Nuggets,0.435,0.176,0.75,23.0,35.0,1
17124,2004-04-18,1610612765,Pistons,0.429,0.25,0.774,23.0,52.0,1610612749,Bucks,0.4270000000000001,0.2,0.8240000000000001,20.0,38.0,1
17125,2004-04-18,1610612748,Heat,0.411,0.26,0.6,15.0,41.0,1610612740,Pelicans,0.4029999999999999,0.2689999999999999,0.7,18.0,39.0,1
17126,2004-04-18,1610612758,Kings,0.53,0.3429999999999999,0.708,28.0,41.0,1610612742,Mavericks,0.451,0.275,0.789,25.0,44.0,1
17127,2004-04-17,1610612747,Lakers,0.3289999999999999,0.285,0.5710000000000001,21.0,41.0,1610612745,Rockets,0.382,0.142,0.688,13.0,51.0,1
17128,2004-04-17,1610612754,Pacers,0.4639999999999999,0.294,0.778,23.0,46.0,1610612738,Celtics,0.4029999999999999,0.363,0.759,15.0,38.0,1
17129,2004-04-17,1610612759,Spurs,0.539,0.315,0.769,26.0,36.0,1610612763,Grizzlies,0.348,0.235,0.857,10.0,38.0,1
17130,2004-04-17,1610612751,Nets,0.5,0.294,0.789,25.0,38.0,1610612752,Knicks,0.377,0.222,0.821,18.0,36.0,1
15687,2005-06-23,1610612759,Spurs,0.426,0.636,0.8420000000000001,14.0,38.0,1610612765,Pistons,0.419,0.143,0.7140000000000001,17.0,34.0,1
15688,2005-06-21,1610612759,Spurs,0.413,0.286,0.615,15.0,43.0,1610612765,Pistons,0.4679999999999999,0.471,0.684,19.0,40.0,0
15689,2005-06-19,1610612765,Pistons,0.44,0.222,0.826,17.0,42.0,1610612759,Spurs,0.4629999999999999,0.4,0.5710000000000001,20.0,45.0,0
15690,2005-06-16,1610612765,Pistons,0.456,0.222,0.7829999999999999,23.0,47.0,1610612759,Spurs,0.371,0.3329999999999999,0.583,15.0,44.0,1
15691,2005-06-14,1610612765,Pistons,0.471,0.214,0.765,22.0,44.0,1610612759,Spurs,0.433,0.471,0.65,16.0,37.0,1
15692,2005-06-12,1610612759,Spurs,0.4679999999999999,0.4579999999999999,0.8240000000000001,23.0,36.0,1610612765,Pistons,0.402,0.0,0.625,17.0,45.0,1
15693,2005-06-09,1610612759,Spurs,0.43,0.308,0.8,12.0,49.0,1610612765,Pistons,0.377,0.1669999999999999,0.7140000000000001,15.0,35.0,1
15694,2005-06-06,1610612748,Heat,0.4639999999999999,0.182,0.667,12.0,35.0,1610612765,Pistons,0.456,0.385,0.733,21.0,41.0,0
15695,2005-06-04,1610612765,Pistons,0.419,0.412,0.632,24.0,46.0,1610612748,Heat,0.406,0.231,0.611,15.0,40.0,1
15696,2005-06-02,1610612748,Heat,0.522,0.375,0.565,17.0,38.0,1610612765,Pistons,0.385,0.273,0.65,16.0,40.0,1
15697,2005-06-01,1610612756,Suns,0.4370000000000001,0.294,0.8240000000000001,16.0,43.0,1610612759,Spurs,0.46,0.429,0.75,21.0,47.0,0
15698,2005-05-31,1610612765,Pistons,0.481,0.5,0.718,27.0,39.0,1610612748,Heat,0.444,0.214,0.7440000000000001,17.0,38.0,1
15699,2005-05-30,1610612759,Spurs,0.442,0.44,0.478,22.0,45.0,1610612756,Suns,0.5710000000000001,0.5,0.875,23.0,37.0,0
15700,2005-05-29,1610612765,Pistons,0.439,0.308,0.6509999999999999,22.0,38.0,1610612748,Heat,0.523,0.5,0.7040000000000001,22.0,39.0,0
15701,2005-05-28,1610612759,Spurs,0.461,0.3,0.867,19.0,49.0,1610612756,Suns,0.442,0.385,0.733,10.0,35.0,1
15702,2005-05-25,1610612748,Heat,0.462,0.273,0.7390000000000001,14.0,46.0,1610612765,Pistons,0.3829999999999999,0.391,0.652,17.0,41.0,1
15703,2005-05-24,1610612756,Suns,0.557,0.5,0.8240000000000001,20.0,34.0,1610612759,Spurs,0.512,0.444,0.7140000000000001,21.0,34.0,0
15704,2005-05-23,1610612748,Heat,0.4679999999999999,0.364,0.5,17.0,34.0,1610612765,Pistons,0.457,0.545,0.833,20.0,41.0,0
15705,2005-05-22,1610612756,Suns,0.488,0.4,0.828,19.0,41.0,1610612759,Spurs,0.517,0.435,0.677,18.0,45.0,0
15706,2005-05-20,1610612742,Mavericks,0.433,0.35,0.8140000000000001,13.0,47.0,1610612756,Suns,0.495,0.481,0.7,18.0,55.0,0
15707,2005-05-19,1610612754,Pacers,0.48,0.263,0.286,27.0,36.0,1610612765,Pistons,0.4370000000000001,0.308,0.917,17.0,40.0,0
15708,2005-05-19,1610612760,Thunder,0.48,0.364,0.769,13.0,38.0,1610612759,Spurs,0.4579999999999999,0.353,0.765,21.0,31.0,0
15709,2005-05-18,1610612756,Suns,0.4479999999999999,0.263,0.821,19.0,56.0,1610612742,Mavericks,0.436,0.364,0.75,19.0,42.0,1
15710,2005-05-17,1610612759,Spurs,0.462,0.353,0.735,15.0,42.0,1610612760,Thunder,0.4589999999999999,0.231,0.731,12.0,39.0,1
